Questions,Answers,Grades,Concatenated_QA,Sentence_Length,Padded_Sentence,Sentence_Length_After_Padding
Name 2 approaches used for solving multi-class classification problem with SVM. ,"one vs one, one vs many",10.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -one vs one, one vs many",16,"Name 2 approaches used for solving multi-class classification problem with SVM. -one vs one, one vs many Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,one vs one approach and one vs all approach.,10.0,Name 2 approaches used for solving multi-class classification problem with SVM. -one vs one approach and one vs all approach.,19,Name 2 approaches used for solving multi-class classification problem with SVM. -one vs one approach and one vs all approach. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Name 2 approaches used for solving multi-class classification problem with SVM. ,one to many comparison where one class is taken and it is compared with the other classes in the dataset. The other way of solving the multi classification is by one to one where we compare each class with the other class.,10.0,Name 2 approaches used for solving multi-class classification problem with SVM. -one to many comparison where one class is taken and it is compared with the other classes in the dataset. The other way of solving the multi classification is by one to one where we compare each class with the other class.,52,Name 2 approaches used for solving multi-class classification problem with SVM. -one to many comparison where one class is taken and it is compared with the other classes in the dataset. The other way of solving the multi classification is by one to one where we compare each class with the other class. Null Null Null Null Null Null Null Null Null,61
Name 2 approaches used for solving multi-class classification problem with SVM. ,One to Many (in this one class is taken as +ve class and all others are taken as -ve) and One to One (in this one class is +ve and anther class is -ve and this is done for all classes),10.0,Name 2 approaches used for solving multi-class classification problem with SVM. -One to Many (in this one class is taken as +ve class and all others are taken as -ve) and One to One (in this one class is +ve and anther class is -ve and this is done for all classes),51,Name 2 approaches used for solving multi-class classification problem with SVM. -One to Many (in this one class is taken as +ve class and all others are taken as -ve) and One to One (in this one class is +ve and anther class is -ve and this is done for all classes) Null Null Null Null Null Null Null Null Null Null,61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"gradient descent approach, back propagation, decision tree",0.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -gradient descent approach, back propagation, decision tree",17,"Name 2 approaches used for solving multi-class classification problem with SVM. -gradient descent approach, back propagation, decision tree Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"One against other, One vs all",10.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -One against other, One vs all",16,"Name 2 approaches used for solving multi-class classification problem with SVM. -One against other, One vs all Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"multiple class against one class, each class comparison with another class",5.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -multiple class against one class, each class comparison with another class",21,"Name 2 approaches used for solving multi-class classification problem with SVM. -multiple class against one class, each class comparison with another class Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,gradient descent and back propogation,0.0,Name 2 approaches used for solving multi-class classification problem with SVM. -gradient descent and back propogation,15,Name 2 approaches used for solving multi-class classification problem with SVM. -gradient descent and back propogation Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"one vs one approach, one vs rest approach",10.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -one vs one approach, one vs rest approach",18,"Name 2 approaches used for solving multi-class classification problem with SVM. -one vs one approach, one vs rest approach Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,one vs one ; one vs rest of them,10.0,Name 2 approaches used for solving multi-class classification problem with SVM. -one vs one ; one vs rest of them,19,Name 2 approaches used for solving multi-class classification problem with SVM. -one vs one ; one vs rest of them Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Name 2 approaches used for solving multi-class classification problem with SVM. , Stochastic Gradient Descent algorithm,0.0,Name 2 approaches used for solving multi-class classification problem with SVM. - Stochastic Gradient Descent algorithm,15,Name 2 approaches used for solving multi-class classification problem with SVM. - Stochastic Gradient Descent algorithm Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"gradient descent method , decision tree method , kernel method",0.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -gradient descent method , decision tree method , kernel method",20,"Name 2 approaches used for solving multi-class classification problem with SVM. -gradient descent method , decision tree method , kernel method Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"decision tree method, gradient decendent method",0.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -decision tree method, gradient decendent method",16,"Name 2 approaches used for solving multi-class classification problem with SVM. -decision tree method, gradient decendent method Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"one vs rest approach, one vs one approach",10.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -one vs rest approach, one vs one approach",18,"Name 2 approaches used for solving multi-class classification problem with SVM. -one vs rest approach, one vs one approach Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"one vs one , one vs many",10.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -one vs one , one vs many",17,"Name 2 approaches used for solving multi-class classification problem with SVM. -one vs one , one vs many Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,classification and regression,0.0,Name 2 approaches used for solving multi-class classification problem with SVM. -classification and regression,13,Name 2 approaches used for solving multi-class classification problem with SVM. -classification and regression Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Name 2 approaches used for solving multi-class classification problem with SVM. ,gradient descent and FFNN,0.0,Name 2 approaches used for solving multi-class classification problem with SVM. -gradient descent and FFNN,14,Name 2 approaches used for solving multi-class classification problem with SVM. -gradient descent and FFNN Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"gradient descent , decision tree ",0.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -gradient descent , decision tree ",16,"Name 2 approaches used for solving multi-class classification problem with SVM. -gradient descent , decision tree  Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"Stochastic Gradient Descent,linear approach",0.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -Stochastic Gradient Descent,linear approach",14,"Name 2 approaches used for solving multi-class classification problem with SVM. -Stochastic Gradient Descent,linear approach Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"stochastic gradient Descent,linear aproach",10.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -stochastic gradient Descent,linear aproach",14,"Name 2 approaches used for solving multi-class classification problem with SVM. -stochastic gradient Descent,linear aproach Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"one vs one , and one vs rest",10.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -one vs one , and one vs rest",18,"Name 2 approaches used for solving multi-class classification problem with SVM. -one vs one , and one vs rest Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,Regression,0.0,Name 2 approaches used for solving multi-class classification problem with SVM. -Regression,11,Name 2 approaches used for solving multi-class classification problem with SVM. -Regression Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"One vs All , One to One",10.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -One vs All , One to One",17,"Name 2 approaches used for solving multi-class classification problem with SVM. -One vs All , One to One Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"one vs rest, one vs one",10.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -one vs rest, one vs one",16,"Name 2 approaches used for solving multi-class classification problem with SVM. -one vs rest, one vs one Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,Classification and Regression.,0.0,Name 2 approaches used for solving multi-class classification problem with SVM. -Classification and Regression.,13,Name 2 approaches used for solving multi-class classification problem with SVM. -Classification and Regression. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"one against other,one vs one",5.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -one against other,one vs one",15,"Name 2 approaches used for solving multi-class classification problem with SVM. -one against other,one vs one Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,1)one vs one 2) one vs rest are the two approaches.,10.0,Name 2 approaches used for solving multi-class classification problem with SVM. -1)one vs one 2) one vs rest are the two approaches.,21,Name 2 approaches used for solving multi-class classification problem with SVM. -1)one vs one 2) one vs rest are the two approaches. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"SVM(support vector machines),linear approach,squeezy approach",0.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -SVM(support vector machines),linear approach,squeezy approach",15,"Name 2 approaches used for solving multi-class classification problem with SVM. -SVM(support vector machines),linear approach,squeezy approach Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"1) One vs One,  2) One vs rest of them",10.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -1) One vs One,  2) One vs rest of them",21,"Name 2 approaches used for solving multi-class classification problem with SVM. -1) One vs One,  2) One vs rest of them Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,one vs one and one vs rest,10.0,Name 2 approaches used for solving multi-class classification problem with SVM. -one vs one and one vs rest,17,Name 2 approaches used for solving multi-class classification problem with SVM. -one vs one and one vs rest Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"One against another and One vs all are the 2 approaches for solving multi-class classification problem with SVM. In one against another approach, n*(n-1)/2 svm models will be constructed. In one vs all approach, n models will be constructed where n is the number of classes",10.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -One against another and One vs all are the 2 approaches for solving multi-class classification problem with SVM. In one against another approach, n*(n-1)/2 svm models will be constructed. In one vs all approach, n models will be constructed where n is the number of classes",56,"Name 2 approaches used for solving multi-class classification problem with SVM. -One against another and One vs all are the 2 approaches for solving multi-class classification problem with SVM. In one against another approach, n*(n-1)/2 svm models will be constructed. In one vs all approach, n models will be constructed where n is the number of classes Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,classifcation and regresstion,0.0,Name 2 approaches used for solving multi-class classification problem with SVM. -classifcation and regresstion,13,Name 2 approaches used for solving multi-class classification problem with SVM. -classifcation and regresstion Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Name 2 approaches used for solving multi-class classification problem with SVM. ,one vs one and one vs rest these are the two approaches used for solving multi class classification problem with svm.,10.0,Name 2 approaches used for solving multi-class classification problem with SVM. -one vs one and one vs rest these are the two approaches used for solving multi class classification problem with svm.,31,Name 2 approaches used for solving multi-class classification problem with SVM. -one vs one and one vs rest these are the two approaches used for solving multi class classification problem with svm. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"construct svm model for every pair if there are n classes then n*(n-1)/2 svm models has to be constructed , decision tree method",0.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -construct svm model for every pair if there are n classes then n*(n-1)/2 svm models has to be constructed , decision tree method",33,"Name 2 approaches used for solving multi-class classification problem with SVM. -construct svm model for every pair if there are n classes then n*(n-1)/2 svm models has to be constructed , decision tree method Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"One to one, one to every other",10.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -One to one, one to every other",17,"Name 2 approaches used for solving multi-class classification problem with SVM. -One to one, one to every other Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"one vs one, one vs rest and regression",10.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -one vs one, one vs rest and regression",18,"Name 2 approaches used for solving multi-class classification problem with SVM. -one vs one, one vs rest and regression Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"one to many approach, one against one approach. Using different kernel functions like sigmoidal. Using SVM poly approach.",10.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -one to many approach, one against one approach. Using different kernel functions like sigmoidal. Using SVM poly approach.",28,"Name 2 approaches used for solving multi-class classification problem with SVM. -one to many approach, one against one approach. Using different kernel functions like sigmoidal. Using SVM poly approach. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"1. One graph can have only 2 classes, so pair one class with another and make a graph for each pair. Then find the linear separator for each, and find the best one. ",0.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -1. One graph can have only 2 classes, so pair one class with another and make a graph for each pair. Then find the linear separator for each, and find the best one. ",44,"Name 2 approaches used for solving multi-class classification problem with SVM. -1. One graph can have only 2 classes, so pair one class with another and make a graph for each pair. Then find the linear separator for each, and find the best one.  Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"one vs one , one vs rest",10.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -one vs one , one vs rest",17,"Name 2 approaches used for solving multi-class classification problem with SVM. -one vs one , one vs rest Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"1The multiclass problem is broken down to multiple binary classification cases, which is also called oneto one. and teh other method is using kernal functions.",5.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -1The multiclass problem is broken down to multiple binary classification cases, which is also called oneto one. and teh other method is using kernal functions.",35,"Name 2 approaches used for solving multi-class classification problem with SVM. -1The multiclass problem is broken down to multiple binary classification cases, which is also called oneto one. and teh other method is using kernal functions. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ," , 1vs1",5.0,"Name 2 approaches used for solving multi-class classification problem with SVM. - , 1vs1",13,"Name 2 approaches used for solving multi-class classification problem with SVM. - , 1vs1 Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"one-vs-one, one vs all",10.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -one-vs-one, one vs all",14,"Name 2 approaches used for solving multi-class classification problem with SVM. -one-vs-one, one vs all Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,"linear approach, Squisy approach ",0.0,"Name 2 approaches used for solving multi-class classification problem with SVM. -linear approach, Squisy approach ",15,"Name 2 approaches used for solving multi-class classification problem with SVM. -linear approach, Squisy approach  Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null",61
Name 2 approaches used for solving multi-class classification problem with SVM. ,one versus one,5.0,Name 2 approaches used for solving multi-class classification problem with SVM. -one versus one,13,Name 2 approaches used for solving multi-class classification problem with SVM. -one versus one Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Name 2 approaches used for solving multi-class classification problem with SVM. ,Classification and Regression,0.0,Name 2 approaches used for solving multi-class classification problem with SVM. -Classification and Regression,13,Name 2 approaches used for solving multi-class classification problem with SVM. -Classification and Regression Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the role played by Kernel function in SVM. How does the Kernel function achieve this? ,in svm kernal plays as flag,0.0,Explain the role played by Kernel function in SVM. How does the Kernel function achieve this? -in svm kernal plays as flag,21,Explain the role played by Kernel function in SVM. How does the Kernel function achieve this? -in svm kernal plays as flag Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the role played by Kernel function in SVM. How does the Kernel function achieve this? ,kernel function have the subsets of the data in its own dataset. kernel function achieve this by using e^-gamma(a-b)^2,0.0,Explain the role played by Kernel function in SVM. How does the Kernel function achieve this? -kernel function have the subsets of the data in its own dataset. kernel function achieve this by using e^-gamma(a-b)^2,34,Explain the role played by Kernel function in SVM. How does the Kernel function achieve this? -kernel function have the subsets of the data in its own dataset. kernel function achieve this by using e^-gamma(a-b)^2 Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the role played by Kernel function in SVM. How does the Kernel function achieve this? ,Kernel function is used to transform the attributes of a given dataset into a different form so that SVM prediction can be applied.,0.0,Explain the role played by Kernel function in SVM. How does the Kernel function achieve this? -Kernel function is used to transform the attributes of a given dataset into a different form so that SVM prediction can be applied.,38,Explain the role played by Kernel function in SVM. How does the Kernel function achieve this? -Kernel function is used to transform the attributes of a given dataset into a different form so that SVM prediction can be applied. Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
Explain the role played by Kernel function in SVM. How does the Kernel function achieve this? ,provides window to manipulate data,0.0,Explain the role played by Kernel function in SVM. How does the Kernel function achieve this? -provides window to manipulate data,20,Explain the role played by Kernel function in SVM. How does the Kernel function achieve this? -provides window to manipulate data Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null Null,61
